gene	description	WT_6h_1	WT_6h_2	WT_6h_3	RELA_6h_1	RELA_6h_2	RELA_6h_3
0610005C13Rik	na	9	12	12	11	16	10
0610007C21Rik	na	534	581	562	512	537	501
0610007L01Rik	na	2124	2197	2168	2811	2706	2265
0610007N19Rik	na	17	26	21	18	20	15
0610007P08Rik	na	1410	1504	1543	1546	1577	1353
0610007P14Rik	na	2049	2008	2074	2192	2192	1968
0610007P22Rik	na	438	451	434	542	508	410
0610008F07Rik	na	0	0	0	0	0	0
0610009B14Rik	na	1	2	1	1	1	3
0610009B22Rik	na	124	186	182	164	187	182
0610009D07Rik	na	2121	2073	2311	2206	2226	2138
0610009L18Rik	na	24	23	24	35	31	15
0610009O20Rik	na	1243	1284	1147	1439	1397	1193
0610010B08Rik	na	0	1	0	0	0	0
0610010F05Rik	na	556	523	563	689	681	586
0610010K14Rik	na	1416	1342	1309	1381	1480	1348
0610010O12Rik	na	30	23	20	17	36	25
0610011F06Rik	na	356	388	326	351	339	317
0610011L14Rik	na	940	1016	1005	1072	1087	1014
0610012G03Rik	na	358	403	392	412	415	398
0610012H03Rik	na	1	0	2	0	0	0
0610030E20Rik	na	2475	2646	2550	2908	3073	2596
0610031J06Rik	na	1609	1672	1484	1617	1640	1429
0610031O16Rik	na	0	0	0	0	0	0
0610037L13Rik	na	1375	1420	1288	1488	1479	1268
0610037P05Rik	na	506	589	546	584	558	573
0610038B21Rik	na	0	1	2	4	0	1
0610038L08Rik	na	6	6	7	8	5	12
0610039K10Rik	na	33	32	41	36	31	29
0610040B10Rik	na	29	37	33	29	27	25
0610040F04Rik	na	1	2	6	3	0	4
0610040J01Rik	na	1	0	0	1	0	0
0610043K17Rik	na	8	2	3	6	7	2
0910001L09Rik	na	559	538	567	557	582	571
100043387	na	0	0	0	0	0	0
1100001G20Rik	na	8	4	3	9	8	11
1110001A16Rik	na	84	107	106	99	84	92
1110001J03Rik	na	270	272	278	329	329	259
1110002B05Rik	na	726	741	844	776	802	776
1110002L01Rik	na	168	177	183	178	193	167
1110002N22Rik	na	227	217	248	273	254	230
1110003E01Rik	na	1346	1400	1362	1523	1667	1406
1110004E09Rik	na	466	506	475	537	530	501
1110004F10Rik	na	1866	1740	1817	1964	2046	1756
1110005A03Rik	na	868	844	864	919	935	876
1110006O24Rik	na	14	27	15	15	15	18
1110007C09Rik	na	179	161	160	222	195	173
1110008F13Rik	na	381	375	423	472	431	401
